Название	Сработала защита	причина	Тег
Аварийная максимальная температура корпуса насоса (нефти/нефтепродукта на выходе из насоса)	да		USA_NPS__MNA_3.Alm.AlmT.AlarmTCorp
Недостоверность измерений температуры корпуса насоса (нефти/нефтепродукта на выходе из насоса)	да		USA_NPS__MNA_3.Alm.AlmT.AlarmFailTCorp
Аварийные утечки нефти/нефтепродукта через торцовое уплотнение насоса	да		USA_NPS__MNA_3.Alm.AlmLeak.AlarmLeak
Несанкционированное включение МНА	да		USA_NPS__MNA_3.Alm.AlmHeap.AlarmUnauthOn
Несанкционированное отключение МНА	да		USA_NPS__MNA_3.Alm.AlmHeap.AlarmUnauthOff
"Аварийное отключение агрегата кнопкой ""Стоп"" (по месту, с БРУ, с ЧРП (для агрегатов с ЧРП))"	да		USA_NPS__MNA_3.Alm.AlmHeap.AlarmStopTP
"Повышенная вибрация МНА (ЭД, насос, гидромуфта, мультипликатор), работающих в стационарном режиме (через 30 секунд от момента подачи команды на включение привода МНА до его отключения) - предупредительная сигнализация к защите ""Аварийная максимальная вибрация. Порог 1"" (за исключением насосов перекачки нефти типа НМ, определенных в соответствии с РД-23.080.00-КТН-107-13)"	не активируется как зищита	в паре нету переферии	USA_NPS__MNA_3.Alm.AlmPress.AlarmFailPLubrMuf
Невыполнение команды остановки МНА	не активируется как зищита	в паре нету переферии	USA_NPS__MNA_3.Alm.AlmHeap.AlarmProgStop
Невыполнение программы пуска агрегата	не активируется как зищита	возможно проблема в УДТ, В УДТ тег прописан!	USA_NPS__MNA_3.Alm.AlmHeap.AlarmProg
Аварийная максимальная вибрация МНА (электродвигатель, насос, гидромуфта, мультипликатор), работающих в нестационарном (пусковом) режиме (в течение 30 секунд от момента подачи команды на включение привода МНА) (за исключением насосов перекачки нефти типа НМ, определенных в соответствии с РД-23.080.00-КТН-107-13)	нет	в паре нету переферии	USA_NPS__MNA_3.Alm.AlmVibr.AlmVibr
Повышенная температура (подшипников ЭД, подшипников насоса, подшипников гидромуфты, подшипников мультипликатора, масла на сливе из подшипников ЭД, обмоток и железа статора ЭД, горячего воздуха на выходе из статора ЭД, холодного воздуха в корпусе ЭД, воды на входе охладителя, воды на выходе охладителя)	нет	в паре нету переферии	USA_NPS__MNA_3.Alm.AlmT.AlarmMaxTPodD
Аварийная максимальная температура (подшипников ЭД, подшипников насоса, подшипников гидромуфты, подшипников мультипликатора, масла на сливе из подшипников ЭД, холодного воздуха в корпусе ЭД)	нет	в паре нету переферии	USA_NPS__MNA_3.Alm.AlmT.AlarmMaxTPod
Недостоверность измерений температуры (подшипников ЭД, подшипников насоса, подшипников гидромуфты, подшипников мультипликатора, масла на сливе из подшипников ЭД, холодного воздуха в корпусе ЭД)	нет	в паре нету переферии	USA_NPS__MNA_3.Alm.AlmT.AlarmFailTPod
Отключение агрегата с АРМ диспетчера по СТМ, по команде ЦСПА	нет	в паре нету переферии	USA_NPS__MNA_3.Alm.AlmHeap.AlarmStopTM
Аварийная максимальная вибрация. Порог 1 для МНА (ЭД, насос, гидромуфта, мультипликатор), работающих в стационарном режиме (через 30 секунд от момента подачи команды на включение привода МНА до его отключения) (за исключением насосов перекачки нефти типа НМ, определенных в соответствии с РД-23.080.00-КТН-107-13)	нет	в паре нету переферии	USA_NPS__MNA_3.Alm.AlmHeap.AlarmStopSAON
Недостоверность измерений вибрации в группе датчиков МНА (электродвигатель, насос, гидромуфта, мультипликатор)	нет	возможно проблема в УДТ, В УДТ тег прописан!	USA_NPS__MNA_3.Alm.AlmVibr.AlarmFailVibrD
Повышенная температура корпуса насоса (нефти/нефтепродукта на выходе из насоса)	нет	возможно проблема в УДТ, В УДТ тег прописан!	USA_NPS__MNA_3.Alm.AlmT.AlarmTCorp
Аварийное минимальное давление масла принудительной системы смазки перед подшипниками МНА (электродвигателя, насоса, мультипликатора)	нет	возможно проблема в УДТ, В УДТ тег прописан!	USA_NPS__MNA_3.Alm.AlmPress.AlarmMinPLubr
Недостоверность измерений давления масла принудительной системы смазки перед подшипниками МНА (электродвигателя, насоса, гидромуфты, мультипликатора)	нет	возможно проблема в УДТ, В УДТ тег прописан!	USA_NPS__MNA_3.Alm.AlmPress.AlarmFailPLubr
Электрическая защита электродвигателя (кроме АЧР)	нет	возможно проблема в УДТ, В УДТ тег прописан!	USA_NPS__MNA_3.Alm.AlmHeap.AlarmStopEZ
Аварийное осевое смещение ротора насоса (для насосов перекачки нефти типа НМ, определенных в соответствии с РД-23.080.00-КТН-107-13)	нет	возможно проблема в УДТ, В УДТ тег прописан!	USA_NPS__MNA_3.Alm.AlmHeap.AlarmRotorAxialBias
Закрытие задвижки у работающего агрегата	нет	возможно проблема в УДТ, В УДТ тег прописан!	USA_NPS__MNA_3.Alm.AlmHeap.AlarmCloseSW
Предельное осевое смещение ротора насоса (для насосов перекачки нефти типа НМ, определенных в соответствии с РД-23.080.00-КТН-107-13)	нет	дубликат, непонятно как так произошло	USA_NPS__MNA_3.Alm.AlmHeap.AlarmRotorAxialBias
